Daily Run Sheet - GSU  -  3/1/2022 to 3/31/2022,,,,,,,,,,,,
Event ID,Guest Count,Building Room,Street Address,SuppliesTime,Food Time,Event Start Time,End Time,Tier,Drop Steward,Pick Up Steward,Event Manager,Select
138203,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Jose ,,,
138204,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138205,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138206,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138207,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Jose,,,
138214,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Romero,,,
138212,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138213,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138211,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Antonio,,,
138210,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138209,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138208,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Sammy,,,
138215,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Romero,,,
138220,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138221,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138226,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Antonio,,,
138227,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis S,,,
138228,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,-,,,
138229,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Jose,,,
138216,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Antonio,,,
138219,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138222,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138225,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,-,,,
138232,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,-,,,
138231,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis ,,,
138230,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Jose,,,
138217,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Romero,,,
138218,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138223,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis,,,
138224,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,luis,,,
138233,1,Various,775 Comm Ave,0,0,6:30 AM,0,CTG,Luis ,,,
138408,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis S,NO P/U,,
138407,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis S,NO P/U,,
138406,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis S,NO P/U,,
138405,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
140725,30,GSU Kitchen,775 Comm ave,,,7:00 AM,12:01:30 AM,1,Luis,,,
138400,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis S,NO P/U,,
138401,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis S,NO P/U,,
140501,1,Warren Kitchen,700 Comm Ave,7:00 AM,7:00 AM,7:00 AM,7:00 AM,1,Luis S,,,
140614,1,Warren Kitchen,700 Comm Ave,7:00 AM,7:00 AM,7:00 AM,7:00 AM,1,Luis S,,,
138402,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis S,NO P/U,,
138403,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
138404,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
138399,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis S,NO P/U,,
138398,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis S,NO P/U,,
138397,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Antonio,NO P/U,,
138396,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
138395,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
138390,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
138391,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
138392,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Antonio,NO P/U,,
138394,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
138393,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
138389,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
139078,1,Warren Kitchen,700 Comm Ave,7:00 AM,7:00 AM,7:00 AM,7:00 AM,1,Luis,,,
138388,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
138387,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Luis,NO P/U,,
138386,1,Law Cart - 2nd floor,765 Comm Ave - Redstone,6:30 AM,6:30 AM,7:00 AM,0,1,Jose,NO P/U,,
140697,15,709,100 East Newton st.,6:30 AM,6:30 AM,7:15 AM,12:01:30 AM,1,Luis S,,,
140695,15,709,100 East Newton st.,6:30 AM,6:30 AM,7:15 AM,12:01:30 AM,1,Luis S,,,
140797,30,Electrical Shop,120 Ashford St.,6:45 AM,6:45 AM,7:30 AM,10:30 AM,1,Luis S,,,
139168,60,4th floor office,775 Comm Ave,6:45 AM,6:45 AM,7:30 AM,12:01:30 AM,0,Luis,,,
139240,60,4th floor office,775 Comm Ave,6:45 AM,6:45 AM,7:30 AM,12:01:30 AM,0,Luis,,,
139242,60,4th floor office,775 Comm Ave,7:00 AM,7:00 AM,7:30 AM,12:01:30 AM,0,Antonio,,,
139243,60,4th floor office,775 Comm Ave,6:45 AM,6:45 AM,7:30 AM,12:01:30 AM,0,Luis,,,
139244,60,4th floor office,775 Comm Ave,6:45 AM,6:45 AM,7:30 AM,12:01:30 AM,0,Luis,,,
139360,45,Colloquium,8 St Marys,6:45 AM,6:45 AM,7:30 AM,8:30 AM,1,Luis S,,,
138832,3,142,25 Buick St.,7:00 AM,7:00 AM,7:45 AM,12:01:30 AM,1,Jose,,,
138953,8,121,15 St. Mary's,7:15 AM,7:15 AM,8:00 AM,11:00 AM,1,Jose,,,
139102,100,Faculty Lounge,765 Comm Ave,7:30 AM,7:30 AM,8:00 AM,8:00 AM,1,Antonio,,,
138343,96,9th floor Colloquium Room,8 St. Mary's,6:00 AM,6:00 AM,8:00 AM,10:30 AM,2,Antonio,Antonio,Molly ,
139097,40,GSU Small Ballroom ,775 Comm Ave ,7:15 AM,7:15 AM,8:00 AM,12:01:30 AM,,,,,
141515,190,COM Lawn,640 Comm Ave,7:15 AM,7:15 AM,8:00 AM,9:00 AM,1,Juan,,,
139214,4,Library - Room on right,Castle,7:15 AM,7:15 AM,8:00 AM,12:01:30 AM,1,Antonio,,,
139099,40,GSU Small Ballroom,775 Comm Ave,7:15 AM,7:15 AM,8:00 AM,12:01:30 AM,0,Luis,,,
138607,125,Law Atrium,765 Comm Ave,6:00 AM,7:00 AM,8:00 AM,9:30 AM,2,Romero,Romero,Jamie/Colby ,
140510,100,Faculty Lounge,765 Comm Ave,7:30 AM,7:30 AM,8:00 AM,8:00 AM,1,Antonio,,,
140799,33,Lobby,610 Comm Ave,7:15 AM,7:15 AM,8:00 AM,10:00 AM,1,Antonio,,,
140910,100,Faculty Lounge,765 Comm Ave,7:30 AM,7:30 AM,8:00 AM,8:00 AM,1,Antonio,,,
139369,60,Colloquium,8 St Marys,6:00 AM,7:00 AM,8:00 AM,10:00 AM,2,Luis,Antonio,Molly,
140909,100,Faculty Lounge,765 Comm Ave,7:30 AM,7:30 AM,8:00 AM,8:00 AM,1,Antonio,,,
138628,125,Law Atrium,765 Comm Ave,6:00 AM,7:00 AM,8:00 AM,9:30 AM,2,Sammy,,Jamie ,
140743,9,263,930 Comm Ave,7:15 AM,7:15 AM,8:00 AM,11:00 AM,1,Jose,,,
138986,45,Terrace Lounge,775 Comm Ave,7:15 AM,7:15 AM,8:15 AM,9:00 AM,1,Jose T,Jose T,,
138980,45,Terrace Lounge,775 Comm Ave,7:15 AM,7:15 AM,8:15 AM,8:45 AM,1,Sammy,,,
138755,1,various,warehouse,8:15 AM,8:15 AM,8:15 AM,8:15 AM,0,Elvin/Romero,NO P/U,,
138839,55,basement west entrance use 881 parking lot,881 Comm Ave,7:30 AM,7:30 AM,8:15 AM,11:00 AM,1,Sammy,Sammy,,
138803,40,B18,755 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Jose,,,
138841,18,Conference Room,125 Bay State Rd,7:45 AM,7:45 AM,8:30 AM,10:30 AM,1,Luis,,,
139262,24,"West Entrance, Basement Level Kitchen",881 Comm Ave,7:45 AM,7:45 AM,8:30 AM,10:00 AM,1,Luis,,,
138724,60,Barristers,765 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Romero,,,
139208,15,B25/B29,750 Comm Ave,7:45 AM,7:45 AM,8:30 AM,11:30 AM,0,Luis,,,
140411,1,Various,Various,8:30 AM,8:30 AM,8:30 AM,10:00 AM,1,Antonio/Elvin,NO P/U,,
138970,40,B18,755 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Jose T,,,
138971,40,B18,755 Comm Ave,7:45 AM,7:45 AM,8:30 AM,9:30 AM,1,Jose,,,
139394,40,PRB 565,5 Cummington Mall,6:30 AM,7:30 AM,8:30 AM,10:00 AM,2,Luis S,Luis S,Jen ,
138849,325,Ziskind Lounge,775 Commonwealth Ave,6:30 AM,7:30 AM,8:30 AM,11:00 AM,0,Romero,Romero,Christine,
140482,300,Barristers,765 Comm ve,7:45 AM,7:45 AM,8:30 AM,10:00 AM,1,Jose,,,
139294,25,140,111 Cummington,7:45 AM,7:45 AM,8:30 AM,12:01:30 AM,1,Luis S,,,
140520,40,610,635 Comm Ave,8:00 AM,8:00 AM,8:45 AM,11:00 AM,1,Luis ,,,
140456,30,502,725 Commonwealth Ave,8:00 AM,8:00 AM,8:45 AM,11:15 AM,1,Bruce,,,
138926,10,106,610 Comm Ave,8:00 AM,8:00 AM,8:45 AM,12:00 PM,1,Romero,Romero,,
139092,10,106,610 Comm Ave,8:00 AM,8:00 AM,8:45 AM,12:00 PM,1,Jose,,,
138875,12,B02 (Basement),621 Comm Ave,8:00 AM,8:00 AM,8:45 AM,10:30 AM,1,Elvin,,,
139212,4,Library - Room on right,Castle,8:15 AM,8:15 AM,9:00 AM,12:01:30 AM,1,Luis,,,
139129,1,C STORE,10 Buck ST.,9:00 AM,9:00 AM,9:00 AM,12:01:30 AM,0,Antonio,,,
139124,20,102A,232 Bay State Rd,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Luis,,,
139335,25,220,635 Comm Ave,8:15 AM,8:15 AM,9:00 AM,10:00 AM,1,Luis S,Luis S,,
138921,15,Plaza and 1st floor lounge,590 COmm Ave,8:15 AM,8:15 AM,9:00 AM,2:00 PM,1,Luis S,Luis S,,
139216,4,Library - Room on right,Castle,8:15 AM,8:15 AM,9:00 AM,12:01:30 AM,1,Luis,,,
139333,18,263A&B,930 Comm Ave,8:15 AM,8:15 AM,9:00 AM,12:01:30 AM,1,Jose,,,
139031,40,4th Floor River Room,213 Bay State Road,8:45 AM,8:45 AM,9:00 AM,12:01:30 AM,1,Jose T,,,
139056,25,East End Lounge,8 St Marys,8:45 AM,8:45 AM,9:30 AM,11:00 AM,1,Jose,,,
136839,36,PICK UP @ Einstein,Einstein Bagel Pickup,9:15 AM,9:15 AM,9:30 AM,11:00 AM,1,Luis S,,,
140629,24,PICK UP @ Einstein,Einstein Bagel Pickup,9:15 AM,9:15 AM,9:30 AM,11:00 AM,1,N/A ,,,
140630,24,PICK UP @ Einstein,Einstein Bagel Pickup,9:15 AM,9:15 AM,9:30 AM,11:00 AM,1,N/A ,,,
136840,36,PICK UP @ Einstein,Einstein Bagel Pickup,9:15 AM,9:15 AM,9:30 AM,11:00 AM,1,-,,,
138813,36,PICK UP @ Einstein,Einstein Bagel Pickup,9:15 AM,9:15 AM,9:30 AM,11:00 AM,1,-,,,
140554,40,2nd Floor-McCausland Common,765 Comm Ave,8:45 AM,8:45 AM,9:30 AM,12:00 PM,1,Sammy,,,
136838,36,PICK UP @ Einstein,Einstein Bagel Pickup,9:15 AM,9:15 AM,9:30 AM,11:00 AM,1,-,,,
138812,36,PICK UP @ Einstein,Einstein Bagel Pickup,9:15 AM,9:15 AM,9:30 AM,11:00 AM,1,-,,,
140452,60,132,685 Comm Ave,8:45 AM,8:45 AM,9:30 AM,11:30 AM,1,Jose T,,,
139114,12,122- outside of classroom,1010 Comm Ave,8:45 AM,8:45 AM,9:30 AM,12:01:30 AM,1,Jose,,,
139115,12,122- outside of classroom,1010 Comm Ave,8:45 AM,8:45 AM,9:30 AM,12:01:30 AM,1,Romero,,,
136837,36,PICK UP @ Einstein,Einstein Bagel Pickup,9:15 AM,9:15 AM,9:30 AM,11:00 AM,1,N/A,,,
136836,36,PICK UP @ Einstein,Einstein Bagel Pickup,9:15 AM,9:15 AM,9:30 AM,11:00 AM,1,N/A,,,
139005,20,1st Flr - Digital Office,141 Bay State Rd,8:45 AM,8:45 AM,9:30 AM,10:30 AM,1,Antonio,Antonio,,
140545,40,B24,745 Comm Ave,7:45 AM,8:45 AM,9:45 AM,12:15 PM,2,Luis S,Luis S,molly ,
140789,1,warehouse ,warehouse ,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Luis S,NO P/U,,
138910,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Jose,NO P/U,,
138763,1,Faculty Dining,Faculty Dining,9:00 AM,9:00 AM,10:00 AM,10:00 AM,0,Luis S,NO P/U,,
138761,1,Faculty Dining,Faculty Dining,9:00 AM,9:00 AM,10:00 AM,10:00 AM,0,Luis,NO P/U,,
138908,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Luis,NO P/U,,
138909,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Jose,NO P/U,,
140732,20,Suite 902,765 Comm Ave,9:15 AM,9:15 AM,10:00 AM,1:00 PM,1,Elvin,,,
140412,100,Fuller Pub,225 Bay State Rd,8:00 AM,8:00 AM,10:00 AM,11:30 AM,3,Jose,Jose,Lynn/Brody,
138911,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Luis S,NO P/U,,
138902,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Luis S,NO P/U,,
138903,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Luis S,NO P/U,,
138762,1,Faculty Dining,Faculty Dining,9:00 AM,9:00 AM,10:00 AM,10:00 AM,0,Luis S,NO P/U,,
140598,1,Back Entrance on Dummer ST.,10 Lenox St.,10:00 AM,10:00 AM,10:00 AM,10:00 AM,0,Luis,NO P/U,,
138904,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Jose ,NO P/U,,
138901,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Luis S,NO P/U,,
138764,1,Faculty Dining,Faculty Dining,9:00 AM,9:00 AM,10:00 AM,10:00 AM,0,Luis S,NO P/U,,
138900,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Jose T,NO P/U,,
138254,25,rm 102,24 Cummington Ave,9:15 AM,9:15 AM,10:00 AM,11:00 AM,1,Luis,,,
138907,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Romero,NO P/U,,
139098,40,GSU Small Ballroom ,775 Comm Ave ,9:15 AM,9:15 AM,10:00 AM,12:01:30 AM,0,-,,,
138884,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Antonio,NO P/U,,
138883,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Luis,NO P/U,,
138239,25,2nd floor Fit Rec Office,915 Comm Ave,9:15 AM,9:15 AM,10:00 AM,12:01:30 AM,1,Luis,,,
138882,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Sammy,NO P/U,,
138912,1,Various,Various,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Luis,NO P/U,,
139048,1,Various,Various,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Luis,NO P/U,,
138752,1,Faculty Dining,Faculty Dining,9:00 AM,9:00 AM,10:00 AM,10:00 AM,0,Luis,NO P/U,,
138881,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Sammy,NO P/U,,
138924,1,Back Entrance on Dummer ST.,10 Lenox St.,10:00 AM,10:00 AM,10:00 AM,10:00 AM,0,Jose,NO P/U,,
136940,25,E&C Offices,928 Comm Ave,9:15 AM,9:15 AM,10:00 AM,12:01:30 AM,1,Elvin,,,
139249,7,3rd Floor-Suite 315,25 Buick Street,9:15 AM,9:15 AM,10:00 AM,12:00 PM,1,Elvin,,,
138889,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Antonio,NO P/U,,
138888,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Sammy,NO P/U,,
141020,1,City Co,10 Buick St,9:15 AM,9:15 AM,10:00 AM,10:00 AM,CTG,Antonio,,,
138887,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Sammy,NO P/U,,
138890,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Luis,NO P/U,,
138885,1,Various,580 Comm Ave,9:00 AM,9:00 AM,10:00 AM,10:00 AM,1,Jose,NO P/U,,
139100,40,GSU Small Ballroom,775 Comm Ave,9:15 AM,9:15 AM,10:00 AM,12:01:30 AM,0,Jose,,,
138753,1,Faculty Dining,Faculty Dining,9:00 AM,9:00 AM,10:00 AM,10:00 AM,0,Luis,NO P/U,,
138754,1,Faculty Dining,Faculty Dining,9:00 AM,9:00 AM,10:00 AM,10:00 AM,0,Luis,NO P/U,,
